expected output,output
['magnetic resonance imaging brain t2 - weighted image axial section showing the well - defined lesion with hypointense center and with peripheral hyperintensity in the right posterior frontal region'],['t2 - weighted axial mri of brain at the level of midline shows a large right occipital lesion with surrounding edema. the right occipital lobe is well demonstrated']
"['sagittal view of a 3d - t1 - weighted mri with gadolinium shows extensive homogeneous cell mass invading the soft parts of the cranio - spinal shower hinge, part of the skull base, the predominant left temporal fossae, large sphenoid wings being crossed by the tumor process.']",['postoperative sagittal t1 - weighted image showing the resection of the tumor from the infratemporal region.']
['pituitary microadenoma. high - resolution dynamic contrast - enhanced t1 - weighted coronal image of brain of another patient ( at 60 seconds ) shows a small nonenhancing ( dark ) microadenoma ( thin black arrow ) lateralized to the right side of the pituitary gland. note that the lesion is more conspicuous on dynamic contrast scan compared to the routine contrast scan ( seen in figure 5b ). the normal pituitary gland shows marked homogenous enhancement and there is no deviation of pituitary stalk ( thin white arrow ) in this case'],['partial empty sella turcica']
['brain ct : lateral ventriculomegaly and periventricular hypointensities.'],['brain computed tomographic scan after trendelenberg position and sufficient intravenous hydration shows the restoration of the midline.']
['a preoperative t1 sagittal spin echo mri of the brain shows a chiari i malformation with tonsillar descent beyond the level of the c1 lamina and syringomyelia and syringobulbia with dilation throughout the cervical spinal cord and no evidence of hydrocephalus'],['non contrast sagittal t1 images shows marked atrophy of the posterior cranial fossa and marked atrophy']
['t2 - weighted axial brain magnetic resonance imaging scan showing hypointense rim with hyperintense heterogenous core in the left frontoparietal region.'],['mri was performed 4 days after seizure onset. t2 - weighted image showed regression of the lesion after resection.']
['sagittal section of mri brain scan shows large mass in optic chiasmatic region suggestive of optic pathway glioma with hamartomas'],['sagittal t2 - weighted mri of the brain showing hypoplastic cerebellum with an obliteration of the ipsilateral midline structures.']
"['diffusion weighted mri after thrombolysis showing left parietal hyperintensities. areas of focal intensities were also identified in other location including the right cerebral hemisphere, consistent with embolic source as a likely cause of these bilateral and sporadic hyperintense lesions.']",['axial diffusion - weighted imaging of the brain shows high intensity signal in the basal ganglia and ischemia in the left frontal lobe.']
['doppler ultrasound examination obtained with a transoccipital approach shows reversed flow in the rva compared with the lva.'],['ultrasound images of the left common carotid artery in a patient with recurrent glioblastoma multiforme. the red indicates the left temporal artery branches of the posterior cerebral artery. the blue represents the origin of the basilar artery is shown in yellow.']
"['post sub - occipital decompression, pre - ventricular shunting sagittal non - contrast ct image of the orbit demonstrate flattening of the posterior globe and some bulging of the optic disc into the back of the orbit. this suggests that the elevated intracranial pressure has persisted after sub - occipital decompression for the chiari i malformation.']",['noncontrast ct image showed a low - density area at the anterior temporal lobe of the brain. the area was identified by a high intensity signal in the subarachnoid space.']
['mri showing abnormal signal intensity involving the medial aspect of the right temporal lobe.'],['axial t2w mri brain showing hyperintensity in the midbrain.']
['magnetic resonance imaging brain showing sellar - suprasellar space occupying lesion ( 24 mm × 20 mm × 26 mm )'],['axial t2w mri of the brain showing large arachnoid cyst in the region']
['ultrasound image during aspiration of air in the interpleural space. arrowhead indicates the needle tip bellow the parietal pleura.'],"['ultrasound images of regular occipital contour, with no parietal pleura ( arrowhead ).']"
"['a 9 - year - old boy with ewing sarcoma of the iliac bone. one of three metastases to the brain, in infratentorial location. mri ; flair.']",['brain mri ( t2 flair ) showing hyperintense signal involving the pontine tegmentum and medially in the left cerebellar hemisphere.']
['brain perfusion magnetic resonance imaging ( mri ) showed increased perfusion at overlying cortex due to seizure related hyperperfusion.'],"['striatocapsular brain lesion ( coloured in green ) and corresponding graph cut segmentation ( in red ), the left superior frontal lobe is shown in green. color bar represents the center is green.']"
['coupe sagittale d ’ un scanner cranio - facial montrant un processus tumoral temporal envahissant l ’ orbite gauche'],['contrast - enhanced computed tomography of the head and neck showing thickened soft tissue mass in the left infratemporal region with significant mass effect and midline shift ( arrow ).']
"['diffuser tensor imaging and tractography of the optic radiations in a case of unilateral mesial temporal sclerosis ( mts ) following resection of the right anterior temporal lobe. the optic radiations are depicted by using tractography. the tracts are overlaid on t1 - weighted images. postoperative changes, including encephalomalacia, are demonstrated within the right middle cranial fossa and the surgical site is denoted by the large arrow. the right optic radiations are thinned and disrupted on the ipsilateral side ( small arrow ).']","['representative sample of biparietal diameters using simultaneously integrated boost. note the pronounced medial temporal lobe ( arrow ), the left temporal lobe is contoured in green. color dorsosignal t2, red ; green, left hippocampus ; blue, right putamen and right temporal lobe.']"
['magnetic resonance imaging - bilateral parietal infarcts'],['brain magnetic resonance images shows prominent bilateral fronto - parietal and occipital subcortical t2 hyperintensity.']
"['typical dose distribution of carbon ion therapy by clivus chordoma patient ( axial view and dose legend ; red line defines ctv ; both eyes, optic nerves and brain steam are also shown ).']","[""a representative axial slice from the patient's brain ct scan is shown. the left lobe is contoured in green. the left lobe is contoured in red and the pons is green.""]"
"['enteral fb ( nail ), entero - parietal fistula with occlusive syndrome']",['an anterior - temporal bone computed tomography image showing an occluded bladder with parietal edema.']
['cerebellar / infratentorial bleed in a child. the only chance for survival is rapid decompression to avoid pressure on the brainstem. the prognosis will be related to rapid access to the operating room and an experienced neurosurgeon'],['the axial view of the brain at the end of the symptoms onset shows the large hemorrhage in the left cerebellar hemisphere that was displacing the bilateral cerebellar hemispheres and an enlargement of the left cerebellar hemisphere.']
['t2 - weighted image of the brain shows increased signal within the occipital lobe suggestive of acute infarction'],['mri brain shows extensive t2 signal changes throughout the white matter with diffuse cerebral edema involving both cerebral hemispheres.']
"['mri brain. there are multiple areas of low signal intensity in the pons, medulla oblongata, basal ganglia and also in the cerebral hemispheres ( mri brain t1 ).']",['t2 weighted image of the brain showing lissencephaly. the sclerosis of the right hippocampus is normal']
"['brain mri with and without contrast. the arrow indicates the abnormal, tiny foci of t2 signal abnormality at the posterior aspect of the brainstem along the foramen of magendie, corresponding to the anatomic region of the area postrema.']",['midsagittal t1 - weighted magnetic resonance imaging of the brain with contrast showing marked decrease in size of the pituitary mass.']
['ct scan of the head shows a large vascular soft tissue mass involving the meninges and invasion of right parietal bone.'],['t1 - weighted brain mri showing expansile mass in the subcortical white matter extending into the insular region.']
"['high resolution anterior segment corneal optical coherence tomography scan demonstrating the corneal stromal demarcation line one month after mechanical epithelial debridement followed by phototherapeutic keratectomy and corneal collagen cross - linking in a patient with progressive keratoconus with depths of 398 μm ( centrally ), 384 μm and 383 μm ( at 2. 0 mm nasally and temporally, respectively ), 197 μm and 189 μm ( at 2. 5 mm nasally and temporally, respectively ).']","['anterior segment optical coherence tomography ( oct ) image focused on the anterior chamber. the central anterior chamber is surrounded by the central anterior chamber. the central anterior chamber is surrounded by the anterior chamber, which is slightly temporal to the fixation line.']"
['mri of brain shows infarct in right putamen and temporal lobe ( arrows ).'],['axial diffusion - weighted imaging showing an acute ischemia in the right temporal and parietal lobes with surrounding edema and involvement of temporal lobes.']
['sagittal 18fdgpet brain revealing preserved mid to posterior cingulate metabolism ( arrows ) with temporoparietal hypometabolism.'],"['a 9t, 2d transverse orienting slice showing the increased uptake of the brain, including the thinninges bilaterally ( arrow ), the surrounding tissue, and the surrounding edema. the sclerosis is notably more prominent at the level of the frontal gyrus. note the increased fdg uptake in the left frontal cortex ( arrowhead ).']"
['brain computed tomography performed 24 h after first surgical intervention.'],"['postoperative ct scan of the brain showing bilateral, subcortical hypodensities with hemorrhage in the left frontal lobe.']"
['8 / 3 / 15 improved external herniation and increase in hydrocephalus secondary to prior brain injury.'],['postoperative computed tomography brain plain showing evidence of residual lesion']
['magnetic resonance image scan of the brain showing multiple brain masses with contrast enhancement and edema.'],['postoperative mri scans of the brain demonstrating bilateral temporal lobe extra - axial collection.']
